Order_ID,Order_Date,Product,Category,Quantity,Unit_Price,Discount,Sales,Region,City,Customer_Type,Payment_Mode,Profit
ORD107320,2023-08-04,Smartphone,Electronics,2.0,65674.95,0.2,105079.92,East,Guwahati,Regular,Net Banking,
ORD102920,2024-10-26,Sofa,Furniture,2.0,32552.03,0.0,65104.06,South,Kochi,Premium,Cash,11235.21
ORD105754,2024-07-17,Study Table,Furniture,3.0,7219.72,0.15,18410.29,East,Patna,Premium,Debit Card,3253.78
ORD105983,2024-01-14,Art Kit,Stationery,,632.26,0.25,2370.98,West,Mumbai,Regular,Debit Card,464.84
ORD100624,2023-05-21,Bed Frame,Furniture,3.0,32967.99,0.2,79123.18,West,Ahmedabad,Regular,Cash,23025.05
ORD101731,2023-04-30,Snacks Combo,Groceries,10.0,543.39,0.0,5433.9,North,Jaipur,New,Credit Card,452.95
ORD103429,2023-11-17,Snacks Combo,Groceries,2.0,630.25,0.15,1071.42,East,Patna,Regular,Debit Card,91.01
ORD107094,2023-07-02,Jeans,Clothing,4.0,1858.64,0.2,5947.65,South,Kochi,Corporate,UPI,1746.15
ORD104844,2024-03-18,Bluetooth Speaker,Electronics,2.0,7997.83,0.25,11996.74,East,Patna,,Debit Card,610.73
ORD103838,2024-05-16,Sneakers,Clothing,3.0,6903.34,,19674.52,East,Bhubaneswar,Corporate,Debit Card,5723.13
ORD100316,2024-10-07,Cooking Oil,Groceries,1.0,447.04,0.0,447.04,East,Kolkata,Regular,Cash,29.9
ORD107529,2023-10-12,Snacks Combo,Groceries,9.0,460.76,0.1,3732.16,North,Jaipur,Premium,UPI,41.13
ORD101509,2023-11-05,Pen Pack,Stationery,13.0,256.07,0.05,3162.46,East,Guwahati,Corporate,Net Banking,835.65
ORD108019,2023-02-03,Office Chair,Furniture,3.0,9134.79,0.2,21923.5,West,Pune,New,Net Banking,4392.0
ORD109395,2023-10-11,Smart Watch,Electronics,2.0,18832.38,0.05,35781.52,South,Chennai,New,UPI,4255.67
ORD101255,2024-10-15,Rice Bag,Groceries,11.0,1677.78,0.15,15687.24,North,Delhi,Regular,Net Banking,-1397.93
ORD106384,2023-04-23,Laptop,Electronics,1.0,67009.53,0.2,53607.62,North,Lucknow,Premium,UPI,3450.73
ORD105267,2024-10-16,Formal Shirt,Clothing,2.0,1640.89,0.2,2625.42,North,Chandigarh,,Debit Card,702.92
ORD100674,2024-06-24,Headphones,Electronics,3.0,5257.87,0.0,15773.61,East,Kolkata,Regular,Cash,2910.5
ORD105442,2023-11-20,Jacket,Clothing,2.0,3410.01,0.05,6479.02,West,Surat,Corporate,UPI,1936.75
ORD104211,2023-08-29,Tablet,Electronics,1.0,42982.56,0.0,42982.56,West,Mumbai,Premium,EMI,5383.79
ORD104506,2023-12-19,Sofa,Furniture,1.0,42025.84,0.05,39924.55,East,Bhubaneswar,New,Debit Card,5716.98
ORD103112,2024-05-12,Coffee Pack,Groceries,13.0,512.21,0.1,5992.86,Central,Indore,Regular,Debit Card,-16.03
ORD108904,2024-12-23,Backpack,Stationery,8.0,2584.56,0.0,20676.48,Central,Indore,Regular,UPI,5281.18
ORD106509,2023-09-10,Cooking Oil,Groceries,3.0,794.86,0.1,2146.12,West,Ahmedabad,Premium,Net Banking,181.87
ORD100108,2023-07-14,Cooking Oil,Groceries,12.0,366.06,0.1,3953.45,South,Bengaluru,,Debit Card,181.06
ORD104304,2024-11-14,Laptop,Electronics,2.0,69199.1,0.0,138398.2,Central,Raipur,Regular,Credit Card,11251.5
ORD101761,2024-08-29,Bed Frame,Furniture,2.0,10714.9,0.05,20358.31,Central,Raipur,Regular,Net Banking,3754.56
